"Algorithm","Polygons","Max vertices","Avg vertices","b","Depth","Cost","Memory","Time","EBF","Frontier","Explored"
A*-d2,75,18,10.2533,169,4,1151.7060,562974,2873,9.0976,6833,861
A*-d6,75,18,10.2533,169,4,1151.7060,920878,4983,10.3057,11029,1461
UC,75,11,7.1867,123,9,1003.9016,4143760,103664,2.9917,5174,23665
A*-d2,75,11,7.1867,123,9,1003.9016,329754,1384,2.4127,4389,339
A*-d6,75,11,7.1867,123,9,1003.9016,611096,2613,2.5827,7419,922
UC,75,15,9.2533,155,7,1087.7411,4236600,101609,4.2246,8530,22931
A*-d2,75,15,9.2533,155,7,1087.7411,248434,1181,3.0472,3424,205
A*-d6,75,15,9.2533,155,7,1087.7411,738916,3907,3.5459,8514,1300
UC,100,10,6.6800,120,5,1432.3330,4730418,134372,7.8047,6451,26762
A*-d2,100,10,6.6800,120,5,1432.3330,138872,655,4.3467,1929,84
A*-d6,100,10,6.6800,120,5,1432.3330,530058,2691,5.6550,6130,893
UC,100,18,10.0900,160,8,654.8663,4018988,66532,3.5949,22170,16466
A*-d2,100,18,10.0900,160,8,654.8663,135782,797,2.4138,1877,88
A*-d6,100,18,10.0900,160,8,654.8663,551472,3350,2.9003,6862,777
UC,100,10,6.7700,124,4,757.4370,3264216,55762,12.4450,9732,16349
A*-d2,100,10,6.7700,124,4,757.4370,35774,168,4.4440,492,9
A*-d6,100,10,6.7700,124,4,757.4370,476356,2480,8.6436,5485,825
UC,100,12,7.1200,122,8,958.7406,3994058,94571,3.4679,7638,21754
A*-d2,100,12,7.1200,122,8,958.7406,100840,482,2.3125,1361,77
A*-d6,100,12,7.1200,122,8,958.7406,627940,3291,2.9172,6662,1316
UC,100,15,8.7600,162,4,411.1255,1586136,14304,10.9370,9699,6047
A*-d2,100,15,8.7600,162,4,411.1255,28808,152,4.2053,402,6
A*-d6,100,15,8.7600,162,4,411.1255,196128,1030,7.0401,2706,155
UC,100,12,7.7000,106,11,817.4966,4039822,91364,4.2611,9377,21302
A*-d2,100,12,7.7000,106,11,817.4966,326866,1594,2.0288,4416,308
A*-d6,100,12,7.7000,106,11,817.4966,428962,2155,2.0710,5153,656
UC,100,20,11.7000,135,8,405.1065,2420812,29136,3.3950,16362,8655
A*-d2,100,20,11.7000,135,8,405.1065,186064,1293,2.5245,2592,137
A*-d6,100,20,11.7000,135,8,405.1065,351408,2510,2.7245,4275,519
UC,100,20,12.0600,161,12,1080.0027,8588096,457167,10.8450,11442,49082
A*-d2,100,20,12.0600,161,12,1080.0027,277100,1962,1.8743,3827,199
A*-d6,100,20,12.0600,161,12,1080.0027,424992,3011,1.9516,5955,302
UC,100,16,9.3600,133,4,645.0111,4423720,110517,13.3060,10869,23023
A*-d2,100,16,9.3600,133,4,645.0111,64478,378,5.2137,874,38
A*-d6,100,16,9.3600,133,4,645.0111,214740,1268,7.1930,2935,172
UC,100,11,7.0300,136,7,678.0854,2810062,39644,4.0558,10819,13139
A*-d2,100,11,7.0300,136,7,678.0854,54958,241,2.4065,782,15
A*-d6,100,11,7.0300,136,7,678.0854,388100,1958,3.2315,4766,560
UC,100,19,10.8000,135,4,875.3627,3983938,96338,12.9716,9648,21027
A*-d2,100,19,10.8000,135,4,875.3627,203540,1321,7.0362,2633,222
A*-d6,100,19,10.8000,135,4,875.3627,492492,3268,8.7184,5694,830
UC,100,17,10.4700,151,6,186.3759,874370,6807,4.4196,6882,2748
A*-d2,100,17,10.4700,151,6,186.3759,58948,373,2.8500,774,49
A*-d6,100,17,10.4700,151,6,186.3759,107356,673,3.1552,1298,144
UC,100,8,5.3600,94,7,1889.5187,4021932,107091,4.0994,1422,24307
A*-d2,100,8,5.3600,94,7,1889.5187,547330,2483,3.4097,6825,754
A*-d6,100,8,5.3600,94,7,1889.5187,1497190,10328,3.8284,11419,4895
UC,100,8,5.7500,104,5,394.0850,876478,5955,5.7953,4100,3798
A*-d2,100,8,5.7500,104,5,394.0850,27958,117,3.0462,377,11
A*-d6,100,8,5.7500,104,5,394.0850,28264,110,3.0462,374,14
UC,100,16,9.4200,120,7,342.7081,1577960,15665,3.7821,8615,6430
A*-d2,100,16,9.4200,120,7,342.7081,73400,428,2.5101,990,51
A*-d6,100,16,9.4200,120,7,342.7081,93436,526,2.6067,1247,77
UC,100,17,9.3800,131,4,778.0227,4489484,98399,13.6862,16390,21459
A*-d2,100,17,9.3800,131,4,778.0227,53634,278,4.9846,748,22
A*-d6,100,17,9.3800,131,4,778.0227,621850,3719,9.1839,6707,1274
UC,100,14,7.6400,126,11,924.7102,3907062,88368,4.0762,8330,21050
A*-d2,100,14,7.6400,126,11,924.7102,122572,615,1.8377,1692,76
A*-d6,100,14,7.6400,126,11,924.7102,619002,3427,2.1413,7033,1106
UC,100,11,6.8800,107,7,750.3344,2764200,46176,3.9555,5373,14899
A*-d2,100,11,6.8800,107,7,750.3344,141426,656,2.7865,1916,116
A*-d6,100,11,6.8800,107,7,750.3344,535882,2904,3.2972,4531,1547
UC,100,15,8.3700,109,5,1369.6273,5828874,210322,8.1034,6206,33653
A*-d2,100,15,8.3700,109,5,1369.6273,88380,465,3.9340,1213,48
A*-d6,100,15,8.3700,109,5,1369.6273,394248,2052,5.4304,5478,308
UC,100,16,9.6300,149,4,873.9782,5958684,198887,14.2775,12841,31840
A*-d2,100,16,9.6300,149,4,873.9782,319082,1848,7.9715,4327,288
A*-d6,100,16,9.6300,149,4,873.9782,1176134,8336,10.7794,12311,2569
UC,100,16,9.8400,148,14,976.3264,6103174,216935,11.3095,11636,33403
A*-d2,100,16,9.8400,148,14,976.3264,455258,2838,1.7669,6016,484
A*-d6,100,16,9.8400,148,14,976.3264,1070410,7253,3.6159,12859,1711
UC,100,14,8.4300,152,6,540.2738,2829706,33115,5.3619,18880,10329
A*-d2,100,14,8.4300,152,6,540.2738,36532,208,2.6102,497,13
A*-d6,100,14,8.4300,152,6,540.2738,200756,1072,3.5792,2750,165
UC,100,16,9.0300,127,5,464.0953,1890692,17832,7.0511,13829,6479
A*-d2,100,16,9.0300,127,5,464.0953,117052,691,4.2031,1644,75
A*-d6,100,16,9.0300,127,5,464.0953,260232,1639,4.8715,3005,445
UC,100,15,9.4500,98,3,1122.7283,4909342,159166,31.7228,4087,28874
A*-d2,100,15,9.4500,98,3,1122.7283,11582,66,4.9883,150,3
A*-d6,100,15,9.4500,98,3,1122.7283,21932,118,6.2846,286,7
UC,100,17,9.8000,120,10,1494.8284,5460824,189667,3.7308,5044,31746
A*-d2,100,17,9.8000,120,10,1494.8284,565166,3537,2.3222,7359,649
A*-d6,100,17,9.8000,120,10,1494.8284,1234148,8752,2.5083,14204,2188
